scan,ctemp,angle,intensity,shift,fitted_center,fitted_sigma,is_shifted,is_changing,status
60,819.98438,25.05924,1107.0052200000002,0.0,25.045402675772845,0.07752861652777653,False,True,stable
60,819.98438,16.53704,928.2786,0.0,16.53377160750831,0.07902541586289626,False,True,stable
60,819.98438,18.86425,462.86910000000006,0.0,18.85943862185852,0.08619453120174796,False,True,stable
60,819.98438,20.17536,206.87672000000003,0.0,20.170542598469765,0.11563274851075328,False,False,stable
61,819.99512,25.05924,1117.3492,0.0,25.04552863031219,0.07731293748112678,False,True,stable
61,819.99512,16.53704,933.3620599999998,0.0,16.53371350775179,0.07873614623103256,False,True,stable
61,819.99512,18.86425,464.55444,0.0,18.85944117819355,0.08576945202310013,False,False,stable
61,819.99512,20.17536,208.01828,0.0,20.17151938105585,0.11469040716431475,False,False,stable
62,819.98053,25.05924,1138.21312,0.0,25.045213515004953,0.07699475160404776,False,True,stable
62,819.98053,16.53704,951.8855799999999,0.0,16.533814589244095,0.07844051768688771,False,True,stable
62,819.98053,18.86425,470.10222000000005,0.0,18.859434743949578,0.08566798087779931,False,True,stable
62,819.98053,20.17536,210.62503999999998,0.0,20.171211142316565,0.11441312041807511,False,False,stable
63,819.99982,25.05924,1148.9896000000003,0.0,25.045653335702198,0.07667675125082084,False,True,stable
63,819.99982,16.53704,953.1921,0.0,16.53392242052108,0.07839127226771887,False,False,stable
63,819.99982,18.86425,472.22218000000004,0.0,18.859226388380687,0.08529367057404061,False,True,stable
63,819.99982,20.17536,211.65475999999998,0.0,20.171164285704727,0.11365982674207387,False,False,stable
64,820.01477,25.05924,1140.88382,0.0,25.045521848695564,0.0766218261696573,False,True,stable
64,820.01477,16.53704,956.21178,0.0,16.533836720147107,0.07812216246266827,False,True,stable
64,820.01477,18.86425,472.77398000000005,0.0,18.859512653403918,0.0850961986883617,False,False,stable
64,820.01477,20.17536,211.03941999999998,0.0,20.171336535377076,0.11405777243064522,False,False,stable
65,820.03528,25.05924,1148.5785600000002,0.0,25.045664661982936,0.07633436162615286,False,True,stable
65,820.03528,16.53704,955.99686,0.0,16.53398015773835,0.07796032543533947,False,False,stable
65,820.03528,18.86425,472.90978000000007,0.0,18.859486510985885,0.0850477207761606,False,False,stable
65,820.03528,20.17536,211.71244000000002,0.0,20.171507369948248,0.11334377225193207,False,False,stable
66,820.01562,25.05924,1151.1182600000002,0.0,25.045808298130442,0.0762750912983517,False,True,stable
66,820.01562,16.53704,956.20274,0.0,16.53412665942149,0.07789909812188528,False,False,stable
66,820.01562,18.86425,475.64794,0.0,18.859777640273123,0.08464100047772494,False,True,stable
66,820.01562,20.17536,212.43973999999997,0.0,20.171798925809934,0.11243293449648518,False,False,stable
67,819.94733,25.05924,1155.8066199999998,0.0,25.045733940254806,0.07603033145315495,False,True,stable
67,819.94733,16.53704,958.14244,0.0,16.53388838391503,0.0777394054540127,False,True,stable
