scan,ctemp,angle,intensity,shift,fitted_center,fitted_sigma,is_shifted
15,593.93658,15.56426,576.67852,0.0,15.524832226597825,0.2288644664049739,False
15,593.93658,28.7112,268.79422,-0.03552999999999784,28.76239077182243,0.23697737248499198,True
15,593.93658,25.93968,226.61471999999998,0.0,25.901288202636593,0.2634431839277429,False
16,599.36938,15.56426,576.7028,0.0,15.524917325856118,0.22696513200886081,False
16,599.36938,28.7112,271.46826,0.0,28.758546734947522,0.23302217837350434,False
16,599.36938,25.93968,226.26189999999997,0.0,25.89961612709234,0.26393192370840846,False
17,604.9613,15.56426,577.9436,0.0,15.52529113533293,0.22489415750191863,False
17,604.9613,28.7112,271.8096,0.0,28.756365665808055,0.23606810195967287,False
17,604.9613,25.93968,226.26895999999996,0.0,25.89949154778055,0.26183585607775167,False
18,610.87329,15.56426,577.5403600000001,0.0,15.524862155722195,0.22528747464010543,False
18,610.87329,28.7112,273.22002000000003,0.0,28.75212344373396,0.23371380557286645,False
18,610.87329,25.93968,227.15328,0.0,25.898791271300254,0.2596653424613885,False
19,616.73468,15.56426,579.3820200000001,0.0,15.523882978742117,0.2227981940201452,False
19,616.73468,28.7112,276.02084,0.0,28.746391550340462,0.22873246554059432,False
19,616.73468,25.93968,228.28972,0.0,25.900953399030097,0.25685721556985314,False
20,623.03223,15.56426,579.15338,0.0,15.524285990503003,0.2223116737362353,False
20,623.03223,28.7112,275.28426,0.0,28.74750679374865,0.2311911750206038,False
20,623.03223,25.93968,227.56444000000002,0.0,25.898194875852763,0.25613665612395536,False
21,628.37122,15.56426,586.98866,0.0,15.52383650640389,0.2212604795565825,False
21,628.37122,28.7112,280.94904,0.0,28.740238386681895,0.22917657408167136,False
21,628.37122,25.93968,231.19829999999996,0.0,25.89757501269685,0.2555164694066385,False
22,634.32953,15.56426,586.87402,0.0,15.523364536303866,0.21991640887776676,False
22,634.32953,28.7112,282.6183,0.0,28.736654315018473,0.23083004666622498,False
22,634.32953,25.93968,231.11370000000002,0.0,25.897623402170495,0.2533873738307697,False
23,640.79529,15.56426,589.899,0.0,15.52426934473038,0.21730415439088013,False
23,640.79529,28.7112,284.3165,0.0,28.73245990823392,0.22803743144479008,False
23,640.79529,25.93968,231.92948,0.0,25.897220666284664,0.25093232245556946,False
24,646.38263,15.56426,590.91542,0.0,15.524057809106287,0.21604570572930717,False
24,646.38263,28.7112,284.81692,0.0,28.731075622684067,0.22924020911972764,False
24,646.38263,25.93968,231.74686000000003,0.0,25.896938311877182,0.25101915440841815,False
25,650.89789,15.56426,592.18446,0.0,15.524161564254483,0.21491171126438044,False
25,650.89789,28.7112,286.49102,0.0,28.729250179446122,0.22854989886465865,False
25,650.89789,25.93968,233.38896,0.0,25.89808316466146,0.2461505917239289,False
26,656.79468,15.56426,590.6516799999999,0.0,15.523645219111414,0.2142023073155773,False
26,656.79468,28.67567,288.74766,-0.035530000000001394,28.71366021339285,0.20150956244305507,True
26,656.79468,25.93968,233.20896000000002,0.0,25.895790726242318,0.24525935814167668,False
27,662.87988,15.56426,592.9648,0.0,15.52381341832451,0.21186334226379377,False
27,662.87988,28.67567,289.58134,0.0,28.710196582975875,0.201216292022878,False
27,662.87988,25.93968,233.43732,0.0,25.89469307041534,0.24589964764716493,False
28,668.56299,15.56426,594.78124,0.0,15.52315888040069,0.21094039076642707,False
28,668.56299,28.67567,293.07856000000004,0.0,28.70678853556049,0.1969409649287868,False
28,668.56299,25.93968,234.6081,0.0,25.89476757681262,0.2429577773616503,False
29,673.3446,15.56426,602.71382,0.0,15.523361561909516,0.20978916461183544,False
29,673.3446,28.67567,297.21022,0.0,28.704068969555056,0.1969640540834666,False
29,673.3446,25.93968,237.09454,0.0,25.89457827074983,0.24255710910795278,False
30,680.2356,15.56426,606.10802,0.0,15.52379901932905,0.20755180504266693,False
30,680.2356,28.67567,302.56025999999997,0.0,28.70018891586216,0.19322787763301136,False
30,680.2356,25.93968,238.33253999999997,0.0,25.894931485903733,0.2384839461183089,False
31,685.1684,15.56426,608.2234799999999,0.0,15.524015175378345,0.20504726970975892,False
